name,Price,year,fuel_type,kms_driven,company
Toyota Innova,760000.0,2010,Diesel,120000.0,Toyota
Maruti Swift Dzire,524000.0,2013,Petrol,39886.0,Maruti
Mahindra XUV500,1650000.0,2019,Diesel,80000.0,Mahindra
Maruti Swift,583000.0,2015,Diesel,56976.0,Maruti
Volkswagen Vento,1147000.0,2020,Petrol,68303.0,Volkswagen
Mini Cooper,1750000.0,2013,Petrol,80000.0,Mini
Skoda Rapid,825000.0,2016,Diesel,54000.0,Skoda
Volkswagen Polo,755000.0,2018,Petrol,72348.0,Volkswagen
Hyundai Creta,875000.0,2015,Petrol,70000.0,Hyundai
Volkswagen Polo,855000.0000000001,2021,Petrol,62696.0,Volkswagen
Hyundai Grand i10,525000.0,2016,Petrol,65000.0,Hyundai
Hyundai Grand i10,650000.0,2017,Petrol,36000.0,Hyundai
Toyota Innova,950000.0,2011,Diesel,199000.0,Toyota
Honda City,846000.0000000001,2018,Petrol,71905.0,Honda
Maruti Swift,424000.0,2013,Petrol,69748.0,Maruti
Maruti Alto,210000.0,2008,Petrol,44000.0,Maruti
Toyota Yaris,959000.0,2021,Petrol,17875.0,Toyota
Renault Duster,889000.0,2020,Petrol,95678.0,Renault
Renault Kiger,850000.0,2022,Petrol,12003.0,Renault
Ford Ecosport,836000.0,2018,Diesel,114427.0,Ford
Renault Kiger,660000.0,2022,Petrol,20000.0,Renault
Honda Brio,334000.0,2012,Petrol,64655.0,Honda
Mahindra KUV 100,594000.0,2018,Petrol,46456.0,Mahindra
Renault Kiger,991000.0,2021,Petrol,20000.0,Renault
Jeep Compass,1450000.0,2018,Diesel,50000.0,Jeep
Volkswagen Vento,219000.0,2011,Diesel,90000.0,Volkswagen
Hyundai Venue,1285000.0,2022,Diesel,20000.0,Hyundai
Toyota Innova,455000.0,2008,Diesel,150000.0,Toyota
Maruti Baleno,825000.0,2022,Petrol,10000.0,Maruti
Honda City,825000.0,2018,Petrol,40000.0,Honda
Ford Ecosport,920000.0,2020,Diesel,40000.0,Ford
Ford Ecosport,729000.0,2017,Diesel,91598.0,Ford
Maruti Celerio,432000.0,2015,Petrol,57521.0,Maruti
Renault Duster,700000.0,2016,Diesel,100000.0,Renault
Hyundai Verna,1499000.0,2021,Petrol,7598.0,Hyundai
Renault Duster,762000.0,2017,Petrol,38520.0,Renault
MG Astor,1625000.0,2022,Petrol,20000.0,MG
Renault Duster,632000.0,2014,Diesel,110455.0,Renault
Hyundai Venue,1218000.0,2020,Petrol,26901.0,Hyundai
Hyundai Grand i10,524000.0,2017,Petrol,65376.0,Hyundai
Mahindra XUV500,1405000.0,2018,Diesel,28177.0,Mahindra
Kia Sonet,1390000.0,2022,Petrol,10000.0,Kia
Hyundai Creta,1275000.0,2018,Petrol,27000.0,Hyundai
Hyundai i10,275000.0,2010,Petrol,90000.0,Hyundai
Honda City,1125000.0,2022,Petrol,20000.0,Honda
Honda City,650000.0,2016,Petrol,82998.0,Honda
Audi A4,700000.0,2010,Petrol,110000.0,Audi
Honda City,1100000.0,2019,Petrol,14500.0,Honda
Mahindra Verito,260000.0,2016,Diesel,120000.0,Mahindra
Hyundai i10,395000.0,2010,Petrol,68000.0,Hyundai
Hyundai Xcent,681000.0,2019,Petrol,25887.0,Hyundai
Maruti S-Presso,405000.0,2020,Petrol,74094.0,Maruti
Honda Jazz,765000.0,2018,Petrol,40000.0,Honda
Maruti Ritz,487000.0,2014,Diesel,91045.0,Maruti
Mahindra XUV500,1474000.0,2018,Diesel,80033.0,Mahindra
Mahindra XUV500,1340000.0,2017,Diesel,70000.0,Mahindra
Renault Triber,770000.0,2021,Petrol,13957.0,Renault
Maruti Baleno,818000.0,2018,Petrol,34140.0,Maruti
Ford Ecosport,724000.0,2017,Petrol,20056.0,Ford
Maruti Celerio,468000.0,2016,Petrol,38233.0,Maruti
Volkswagen Jetta,500000.0,2013,Petrol,100000.0,Volkswagen
Ford Ecosport,600000.0,2016,Diesel,50000.0,Ford
Mahindra XUV500,1350000.0,2017,Diesel,70000.0,Mahindra
Hyundai Grand i10,525000.0,2016,Petrol,44000.0,Hyundai
Hyundai Getz,175000.0,2006,Petrol,90000.0,Hyundai
Maruti Ciaz,725000.0,2016,Petrol,30000.0,Maruti
Hyundai Grand i10,550000.0,2018,Petrol,50000.0,Hyundai
Maruti Swift,650000.0,2019,Petrol,98000.0,Maruti
Honda Jazz,775000.0,2017,Petrol,47000.0,Honda
Hyundai Verna,900000.0,2019,Petrol,70000.0,Hyundai
Maruti Alto 800,408000.0,2020,Petrol,16998.0,Maruti
Hyundai Grand i10,642000.0,2017,Petrol,15256.0,Hyundai
Hyundai Verna,900000.0,2019,Petrol,70000.0,Hyundai
Datsun RediGO,521000.0,2020,Petrol,4495.0,Datsun
Renault Triber,695000.0,2020,Petrol,34561.0,Renault
Maruti Alto K10,390000.0,2018,Petrol,40000.0,Maruti
Tata Tiago,429000.0,2016,Petrol,142135.0,Tata
Ford Aspire,520000.0,2021,Petrol,120000.0,Ford
Maruti Wagon R,625000.0,2019,Petrol,9553.0,Maruti
Renault KWID,601000.0,2022,Petrol,7600.0,Renault
Jeep Compass,1300000.0,2017,Diesel,120000.0,Jeep
Hyundai Grand i10,645000.0,2017,Petrol,20000.0,Hyundai
Hyundai i20,695000.0,2016,Petrol,45578.0,Hyundai
Volkswagen Jetta,500000.0,2013,Petrol,100000.0,Volkswagen
BMW 3 Series,1644000.0000000002,2014,Diesel,100000.0,BMW
Ford Ecosport,894999.9999999999,2019,Petrol,42000.0,Ford
Hyundai i10,350000.0,2013,Petrol,90000.0,Hyundai
Hyundai Verna,550000.0,2012,Diesel,70000.0,Hyundai
Ford Endeavour,750000.0,2010,Diesel,100000.0,Ford
Maruti Ignis,581000.0,2017,Petrol,16306.0,Maruti
Maruti Wagon R,513000.0,2020,Petrol,25086.0,Maruti
Maruti Baleno,650000.0,2017,Petrol,54845.0,Maruti
Ford Freestyle,806000.0,2020,Diesel,35642.0,Ford
Maruti Baleno,725000.0,2016,Petrol,22173.0,Maruti
Hyundai Grand i10,426000.0,2014,Petrol,67790.0,Hyundai
Maruti Alto K10,485000.0,2019,Petrol,38000.0,Maruti
Honda Brio,351000.0,2012,Petrol,49713.0,Honda
Renault KWID,490000.00000000006,2021,Petrol,10002.0,Renault
Mahindra XUV500,1495000.0,2017,Diesel,46706.0,Mahindra
Maruti Swift,510000.0,2014,Diesel,90000.0,Maruti
Volkswagen Polo,1025000.0,2017,Petrol,55833.0,Volkswagen
Skoda Rapid,825000.0,2016,Diesel,54000.0,Skoda
Ford Ecosport,675000.0,2016,Diesel,68000.0,Ford
Ford Figo,190000.0,2010,Diesel,113348.0,Ford
Audi A6,890000.0,2014,Diesel,134000.0,Audi
Renault Kiger,823000.0,2022,Petrol,20000.0,Renault
Maruti Swift,554000.0,2014,Petrol,52311.0,Maruti
Maruti Swift Dzire,499000.0,2014,Petrol,59514.0,Maruti
Renault Kiger,815000.0,2022,Petrol,10000.0,Renault
Maruti Baleno,719000.0,2020,Petrol,36743.0,Maruti
Maruti Celerio,372000.0,2015,Petrol,83046.0,Maruti
Maruti Celerio,515000.00000000006,2018,Petrol,10000.0,Maruti
Honda Jazz,554000.0,2016,Petrol,59420.0,Honda
Tata Tigor,700000.0,2023,Petrol,4545.0,Tata
Maruti Swift,410000.0,2011,Petrol,70404.0,Maruti
Maruti Ciaz,685000.0,2016,Petrol,39725.0,Maruti
Maruti Wagon R,180000.0,2006,Petrol,60000.0,Maruti
Ford Ecosport,765000.0,2018,Petrol,50000.0,Ford
Hyundai Elantra,491000.0,2013,Petrol,50000.0,Hyundai
Ford Ecosport,1175000.0,2021,Diesel,23272.0,Ford
Ford Ecosport,999000.0,2020,Petrol,8407.0,Ford
Maruti Swift,715000.0,2018,Petrol,50000.0,Maruti
Hyundai i20,404000.0,2012,Petrol,54305.0,Hyundai
Hyundai i10,358000.0,2016,Petrol,50000.0,Hyundai
Maruti Ignis,581000.0,2017,Petrol,64998.0,Maruti
Hyundai i20,630000.0,2015,Petrol,75940.0,Hyundai
Honda Jazz,560000.0,2016,Petrol,25639.0,Honda
Mahindra XUV500,1551000.0,2019,Diesel,44107.0,Mahindra
Hyundai Verna,525000.0,2014,Petrol,60000.0,Hyundai
Maruti Celerio,501000.0,2018,Petrol,41594.0,Maruti
Maruti Wagon R,617000.0,2020,Petrol,24786.0,Maruti
Maruti Alto K10,365000.0,2017,Petrol,56000.0,Maruti
Honda City,995000.0,2018,Petrol,90000.0,Honda
Hyundai i20,775000.0,2019,Petrol,31000.0,Hyundai
Hyundai Verna,770000.0,2017,Petrol,36000.0,Hyundai
Maruti Swift,725000.0,2018,Petrol,19065.0,Maruti
Honda Jazz,840000.0,2019,Petrol,30538.0,Honda
Hyundai i20,799000.0,2018,Petrol,48891.0,Hyundai
Mercedes-Benz A Class,1380000.0,2014,Petrol,60000.0,Mercedes-Benz
Maruti Swift,696000.0,2018,Petrol,26676.0,Maruti
Maruti Swift,576000.0,2015,Petrol,35647.0,Maruti
Toyota Glanza,721000.0,2020,Petrol,63825.0,Toyota
Honda City,995000.0,2018,Petrol,31346.0,Honda
Hyundai i20,594000.0,2015,Petrol,79349.0,Hyundai
Mahindra XUV500,927000.0,2015,Diesel,88203.0,Mahindra
Maruti Wagon R,426000.0,2015,Petrol,52228.0,Maruti
Hyundai Creta,1100000.0,2015,Diesel,70000.0,Hyundai
Nissan Magnite,905000.0,2022,Petrol,40542.0,Nissan
Renault Duster,848000.0,2019,Petrol,47936.0,Renault
Maruti Gypsy,400000.0,1995,Petrol,10000.0,Maruti
Skoda Superb,575000.0,2008,Diesel,70000.0,Skoda
Honda City,400000.0,2013,Petrol,110000.0,Honda
Maruti Gypsy,400000.0,1995,Petrol,10000.0,Maruti
Hyundai Creta,894999.9999999999,2016,Petrol,45000.0,Hyundai
